unit_id,timestamp,latitude,longitude,dist_diff,distance_by_interval,flag,rank,cluster_number,alert_info
1412130,2017-03-26T01:25:00.000Z,18.45975089047266,73.62828268488249,28.35512949290701,60.62253225508789,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:26:00.000Z,18.85599107458325,73.44935067911472,nan.0,88.97792315973277,nan.0,4,"outlier","[ ""You are outside the cluster"" ]"
1412130,2017-03-26T01:26:00.000Z,18.45715940017634,73.6199673413781,27.43221022773857,61.5457129319942,1.0,5,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410671,2017-03-26T01:26:00.000Z,18.55561769677138,73.71648273644875,44.6773896449655,16.8683232870287,1.0,7,"outlier","[ ""unit_id 1410656 is move ahead of your cluster outlier"", ""unit_id 1412130 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T01:27:00.000Z,18.85599107458325,73.44935067911472,nan.0,88.97792315973277,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:27:00.000Z,18.4568757858282,73.6097039397248,26.34921643447002,62.62870672526275,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:28:00.000Z,18.85599279345809,73.44935067911472,nan.0,88.9781130303287,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:28:00.000Z,18.4595388959094,73.59933224895673,25.21608661638651,63.76202641394219,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:29:00.000Z,18.85599279345809,73.44935239798956,nan.0,88.97829271130477,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:29:00.000Z,18.45483891914604,73.59157725864928,24.24560620501721,64.73268650628756,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:30:00.000Z,18.85599279345809,73.44935239798956,nan.0,88.97829271130477,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:30:00.000Z,18.45143898471793,73.58666242253126,23.60399120824667,65.37430150305811,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
1410765,2017-03-26T01:31:00.000Z,17.79927380721227,73.6924608876397,nan.0,137.290377415872,nan.0,1,"outlier","[ ""You are outside the cluster"" ]"
1410656,2017-03-26T01:31:00.000Z,18.85599279345809,73.44935067911472,48.31190502359118,88.97847239228085,1.0,4,"outlier","[ ""unit_id 1410765 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1412130,2017-03-26T01:31:00.000Z,18.44829057897434,73.58104227477169,22.91570475690123,66.06276763537961,1.0,5,"outlier","[ ""unit_id 1410765 is move ahead of your cluster outlier"", ""unit_id 1410656 is move ahead of your cluster outlier"", ""You are outside the cluster"" ]"
1410656,2017-03-26T01:32:00.000Z,18.85599279345809,73.44935067911472,nan.0,88.97847239228085,nan.0,4,0,"[ ""unit_id 1412130 is left behind of your cluster 0"" ]"
1412130,2017-03-26T01:32:00.000Z,18.4507193491194,73.57111061596198,21.83386357248817,67.14460881979268,1.0,5,"outlier","[ ""You are outside the cluster"" ]"
